recipeId,title,description,authorId,cuisine,category,difficulty,prepTimeMinutes,cookTimeMinutes,totalTimeMinutes,servings,tags,createdAt,updatedAt,isPublic
recipe_chicken_curry,Simple Chicken Curry,A simple Simple Chicken Curry recipe for everyday cooking.,user_chef_1,Indian,Main Course,medium,20,25,45,4,"indian,main course",2025-11-02T07:14:36.234821+00:00,2025-11-16T07:14:36.234821+00:00,True
recipe_choco_brownie,Chocolate Brownie,A simple Chocolate Brownie recipe.,user_chef_2,American,Dessert,medium,20,30,50,4,"american,dessert",2025-11-14T07:19:37.088205+00:00,2025-11-15T07:19:37.088205+00:00,True
recipe_dal_tadka,Dal Tadka,A simple Dal Tadka recipe for everyday cooking.,user_chef_1,Indian,Main Course,easy,15,20,35,3,"indian,main course",2025-11-06T07:14:36.234821+00:00,2025-11-20T07:14:36.234821+00:00,True
recipe_fried_rice,Veg Fried Rice,A simple Veg Fried Rice recipe for everyday cooking.,user_chef_2,Chinese,Main Course,medium,20,15,35,2,"chinese,main course",2025-11-02T07:14:36.234821+00:00,2025-11-15T07:14:36.234821+00:00,True
recipe_garlic_bread,Garlic Bread,A simple Garlic Bread recipe for everyday cooking.,user_adi,Italian,Snack,easy,10,12,22,2,"italian,snack",2025-11-08T07:14:36.234821+00:00,2025-11-18T07:14:36.234821+00:00,True
recipe_grilled_sandwich,Grilled Veg Sandwich,A simple Grilled Veg Sandwich recipe for everyday cooking.,user_adi,Global,Snack,easy,10,10,20,2,"global,snack",2025-10-29T07:14:36.234821+00:00,2025-11-15T07:14:36.234821+00:00,True
recipe_lemon_rice,Lemon Rice,A simple Lemon Rice recipe for everyday cooking.,user_taster_1,Indian,Main Course,easy,10,10,20,2,"indian,main course",2025-11-18T07:14:36.234821+00:00,2025-11-15T07:14:36.234821+00:00,True
recipe_masala_omelette,Masala Omelette,A simple Masala Omelette recipe.,user_chef_2,Indian,Breakfast,easy,10,5,15,1,"indian,breakfast",2025-11-08T07:19:37.088205+00:00,2025-11-19T07:19:37.088205+00:00,True
recipe_pancakes,Soft Pancakes,A simple Soft Pancakes recipe for everyday cooking.,user_taster_2,American,Breakfast,easy,10,10,20,2,"american,breakfast",2025-10-28T07:14:36.234821+00:00,2025-11-15T07:14:36.234821+00:00,True
recipe_paneer_butter_masala,Paneer Butter Masala,A simple Paneer Butter Masala recipe.,user_chef_1,Indian,Main Course,medium,20,25,45,3,"indian,main course",2025-10-23T07:19:37.088205+00:00,2025-11-16T07:19:37.088205+00:00,True
recipe_salad_bowl,Rainbow Salad Bowl,A simple Rainbow Salad Bowl recipe for everyday cooking.,user_taster_1,Global,Salad,easy,15,0,15,2,"global,salad",2025-11-07T07:14:36.234821+00:00,2025-11-20T07:14:36.234821+00:00,True
recipe_smoothie,Berry Banana Smoothie,A simple Berry Banana Smoothie recipe for everyday cooking.,user_taster_2,Global,Beverage,easy,5,0,5,1,"global,beverage",2025-11-15T07:14:36.234821+00:00,2025-11-17T07:14:36.234821+00:00,True
recipe_surmai_fry,Surmai Fry,"Delicious Surmai Fry with aromatic spices and herbs, crispy outside and juicy inside.",user_bhakti,Indian,Seafood,medium,15,20,35,4,"seafood,fry,Indian",2025-11-19T07:19:37.088205+00:00,2025-11-20T07:19:37.088205+00:00,True
recipe_tomato_soup,Tomato Soup,A simple Tomato Soup recipe for everyday cooking.,user_chef_1,Global,Starter,easy,10,15,25,2,"global,starter",2025-11-07T07:14:36.234821+00:00,2025-11-17T07:14:36.234821+00:00,True
recipe_veg_maggi,Masala Veg Maggi,A simple Masala Veg Maggi recipe for everyday cooking.,user_adi,Indian,Snack,easy,5,7,12,1,"indian,snack",2025-10-31T07:14:36.234821+00:00,2025-11-16T07:14:36.234821+00:00,True
recipe_veg_pulao,Veg Pulao,A simple Veg Pulao recipe.,user_chef_1,Indian,Main Course,easy,15,20,35,2,"indian,main course",2025-11-09T07:19:37.088205+00:00,2025-11-18T07:19:37.088205+00:00,True
recipe_veg_wrap,Veg Wrap,A simple Veg Wrap recipe for everyday cooking.,user_chef_2,Global,Snack,medium,15,10,25,1,"global,snack",2025-11-13T07:14:36.234821+00:00,2025-11-15T07:14:36.234821+00:00,True
